id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_odtw,jumlah_odtw,satuan,tahun
218,32,JAWA BARAT,3272,KOTA SUKABUMI,BUDAYA,0,LOKASI,2016
219,32,JAWA BARAT,3272,KOTA SUKABUMI,MINAT KHUSUS,0,LOKASI,2016
220,32,JAWA BARAT,3273,KOTA BANDUNG,ALAM,3,LOKASI,2016
221,32,JAWA BARAT,3273,KOTA BANDUNG,BUDAYA,3,LOKASI,2016
222,32,JAWA BARAT,3273,KOTA BANDUNG,MINAT KHUSUS,8,LOKASI,2016
223,32,JAWA BARAT,3274,KOTA CIREBON,ALAM,1,LOKASI,2016
224,32,JAWA BARAT,3274,KOTA CIREBON,BUDAYA,14,LOKASI,2016
225,32,JAWA BARAT,3274,KOTA CIREBON,MINAT KHUSUS,2,LOKASI,2016
226,32,JAWA BARAT,3275,KOTA BEKASI,ALAM,0,LOKASI,2016
227,32,JAWA BARAT,3275,KOTA BEKASI,BUDAYA,0,LOKASI,2016
228,32,JAWA BARAT,3275,KOTA BEKASI,MINAT KHUSUS,0,LOKASI,2016
229,32,JAWA BARAT,3276,KOTA DEPOK,ALAM,6,LOKASI,2016
230,32,JAWA BARAT,3276,KOTA DEPOK,BUDAYA,6,LOKASI,2016
231,32,JAWA BARAT,3276,KOTA DEPOK,MINAT KHUSUS,9,LOKASI,2016
232,32,JAWA BARAT,3277,KOTA CIMAHI,ALAM,3,LOKASI,2016
233,32,JAWA BARAT,3277,KOTA CIMAHI,BUDAYA,2,LOKASI,2016
234,32,JAWA BARAT,3277,KOTA CIMAHI,MINAT KHUSUS,1,LOKASI,2016
235,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ALAM,4,LOKASI,2016
236,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUDAYA,5,LOKASI,2016
237,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MINAT KHUSUS,2,LOKASI,2016
238,32,JAWA BARAT,3279,KOTA BANJAR,ALAM,1,LOKASI,2016
239,32,JAWA BARAT,3279,KOTA BANJAR,BUDAYA,1,LOKASI,2016
240,32,JAWA BARAT,3279,KOTA BANJAR,MINAT KHUSUS,0,LOKASI,2016
241,32,JAWA BARAT,3201,KABUPATEN BOGOR,ALAM,55,LOKASI,2017
242,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUDAYA,3,LOKASI,2017
243,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINAT KHUSUS,28,LOKASI,2017
244,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ALAM,36,LOKASI,2017
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUDAYA,7,LOKASI,2017
246,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINAT KHUSUS,7,LOKASI,2017
247,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ALAM,12,LOKASI,2017
248,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUDAYA,3,LOKASI,2017
249,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINAT KHUSUS,4,LOKASI,2017
250,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ALAM,56,LOKASI,2017
251,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUDAYA,8,LOKASI,2017
252,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINAT KHUSUS,0,LOKASI,2017
253,32,JAWA BARAT,3205,KABUPATEN GARUT,ALAM,30,LOKASI,2017
254,32,JAWA BARAT,3205,KABUPATEN GARUT,BUDAYA,6,LOKASI,2017
255,32,JAWA BARAT,3205,KABUPATEN GARUT,MINAT KHUSUS,7,LOKASI,2017
256,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ALAM,59,LOKASI,2017
257,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUDAYA,84,LOKASI,2017
258,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINAT KHUSUS,3,LOKASI,2017
